Country,Physicians,Nurses,Specialist Surgical Workforce
Syrian Arab Republic,1.2,1.5,..
Tajikistan,1.7,5.2,41.7
Tanzania,0,0.4,0.5
Thailand,0.8,3,13.1
Timor-Leste,0.7,1.7,0.9
Togo,0,0.3,0.5
Tonga,0.5,3.9,14
Trinidad and Tobago,2.7,3.5,30.9
Tunisia,1.3,2.6,11.5
Turkey,1.8,2.6,47.6
Turkmenistan,2.2,4.6,58.8
Turks and Caicos Islands,..,..,..
Tuvalu,0.9,3.8,26.1
Uganda,0.1,0.6,1.1
Ukraine,3,7.1,86.6
United Arab Emirates,2.4,5.6,..
United Kingdom,2.8,8.3,133.3
United States,2.6,8.6,54.7
Uruguay,5,1.9,38.9
Uzbekistan,2.4,12.1,50.4
Vanuatu,0.2,1.4,3.2
"Venezuela, RB",..,..,18.1
Vietnam,0.8,1.4,..
Virgin Islands (U.S.),..,..,..
West Bank and Gaza,..,..,..
"Yemen, Rep.",0.3,0.7,0.8
Zambia,0.1,0.9,1.5
Zimbabwe,0.1,1.2,1.6
