,health_exp,physicians,nurses,surgeons,pop_density
Monaco,1.7,6.6,20.3,195.6,19196.0
Mongolia,3.8,2.9,4.0,45.0,2.0
Montenegro,7.6,2.3,5.7,64.1,46.0
Morocco,5.8,0.7,1.1,3.7,81.0
Mozambique,5.1,0.1,0.4,0.5,38.0
Myanmar,5.1,0.9,1.0,2.4,82.0
Namibia,9.1,0.4,2.8,6.1,3.0
Nepal,6.3,0.7,2.7,3.0,196.0
Netherlands,10.4,3.5,11.1,49.0,511.0
New Caledonia,,,,,16.0
New Zealand,9.2,3.0,11.0,43.0,19.0
Nicaragua,8.7,1.0,1.6,15.5,54.0
Niger,6.2,0.1,0.3,0.4,18.0
Nigeria,3.6,0.4,1.5,1.4,215.0
North Macedonia,6.3,2.9,3.8,61.2,83.0
Northern Mariana Islands,,,,,124.0
Norway,10.5,4.6,18.1,67.2,15.0
Oman,4.3,2.0,4.3,30.5,16.0
Pakistan,2.8,1.0,0.5,5.5,275.0
Palau,11.7,1.2,5.3,,39.0
Panama,7.3,1.6,1.4,26.2,56.0
Papua New Guinea,2.0,0.1,0.5,2.3,19.0
Paraguay,8.0,1.4,1.2,20.5,18.0
Peru,5.1,1.3,1.4,42.9,25.0
Philippines,4.4,1.3,0.2,9.6,358.0
Poland,6.5,2.4,5.7,67.9,124.0
Portugal,9.1,3.3,6.4,86.1,112.0
Puerto Rico,,,,,360.0
Qatar,3.1,0.0,6.6,14.5,240.0
Romania,5.0,2.3,6.1,60.5,85.0
Russian Federation,5.3,4.0,8.6,63.1,9.0
Rwanda,6.8,0.1,0.8,0.8,499.0
Samoa,5.5,0.3,1.9,1.6,69.0
San Marino,6.4,6.1,8.8,112.9,563.0
Sao Tome and Principe,6.0,0.3,2.3,,220.0
Saudi Arabia,5.7,2.4,5.7,,16.0
Senegal,5.5,0.1,0.3,1.1,82.0
Serbia,9.1,3.1,6.1,86.7,80.0
Seychelles,3.9,0.9,3.3,48.6,210.0
Sierra Leone,16.5,0.0,1.0,0.1,106.0
Singapore,4.5,2.3,7.2,31.5,7953.0
Sint Maarten (Dutch part),,,,,1193.0
Slovak Republic,7.1,2.5,9.2,53.9,113.0
Slovenia,8.5,3.0,9.7,66.7,103.0
Solomon Islands,5.2,0.2,2.1,2.5,23.0
Somalia,,0.0,0.1,0.2,24.0
South Africa,8.1,0.9,3.5,11.4,48.0
South Sudan,,,,0.3,
Spain,9.0,4.1,5.5,79.9,94.0
Sri Lanka,3.9,1.0,2.1,2.8,346.0
St. Kitts and Nevis,5.7,2.5,4.0,33.5,202.0
St. Lucia,5.3,0.1,1.6,23.6,298.0
St. Martin (French part),,,,,672.0
St. Vincent and the Grenadines,3.6,0.7,2.6,23.6,283.0
Sudan,5.7,0.4,0.8,2.7,
Suriname,6.1,1.2,4.1,,4.0
Sweden,10.9,5.4,11.5,113.1,25.0
Switzerland,12.2,4.2,17.3,94.8,216.0
Syrian Arab Republic,,1.2,1.5,,92.0
Tajikistan,7.0,1.7,5.2,41.7,66.0
Tanzania,4.1,0.0,0.4,0.5,64.0
Thailand,3.7,0.8,3.0,13.1,136.0
Timor-Leste,4.0,0.7,1.7,0.9,85.0
Togo,6.6,0.0,0.3,0.5,145.0
Tonga,5.3,0.5,3.9,14.0,143.0
Trinidad and Tobago,6.5,2.7,3.5,30.9,271.0
Tunisia,7.0,1.3,2.6,11.5,74.0
Turkey,4.3,1.8,2.6,47.6,107.0
Turkmenistan,6.6,2.2,4.6,58.8,12.0
Turks and Caicos Islands,,,,,40.0
Tuvalu,15.5,0.9,3.8,26.1,384.0
Uganda,6.2,0.1,0.6,1.1,213.0
Ukraine,6.7,3.0,7.1,86.6,77.0
United Arab Emirates,3.5,2.4,5.6,,136.0
United Kingdom,9.8,2.8,8.3,133.3,275.0
United States,17.1,2.6,8.6,54.7,36.0
Uruguay,9.1,5.0,1.9,38.9,20.0
Uzbekistan,6.3,2.4,12.1,50.4,77.0
Vanuatu,3.7,0.2,1.4,3.2,24.0
"Venezuela, RB",3.2,,,18.1,33.0
Vietnam,5.7,0.8,1.4,,308.0
Virgin Islands (U.S.),,,,,306.0
West Bank and Gaza,,,,,759.0
"Yemen, Rep.",5.6,0.3,0.7,0.8,54.0
Zambia,4.5,0.1,0.9,1.5,23.0
Zimbabwe,9.4,0.1,1.2,1.6,37.0
Nauru,,,,,635.0
